id,away_losses,away_wins,home_losses,home_wins
400489403,9,27,17,18
400489404,18,16,7,29
400489405,22,15,24,12
400489406,14,23,17,20
400489407,14,21,19,16
400489408,22,15,18,18
400489409,16,21,20,15
400489410,10,27,21,15
400489411,18,16,28,7
400489412,23,13,26,12
400489413,26,10,22,12
400489414,24,13,14,25
400489415,23,14,13,26
400489416,22,15,17,18
400489417,14,24,19,16
400489418,15,21,22,16
400489419,22,14,25,12
400489420,23,15,18,17
400489421,29,7,9,28
400489422,21,15,16,22
400489423,27,10,17,19
400489424,25,13,9,28
400489425,24,13,22,13
400489426,18,20,19,17
400489427,19,18,8,29
400489428,30,7,17,19
400489429,14,25,26,13
400489430,16,21,22,15
400489431,19,17,19,17
400489432,8,30,22,15
400489433,28,10,16,23
400489434,18,19,26,13
400489435,23,15,23,16
400489436,23,13,7,30
400489437,10,28,19,18
400489438,24,14,24,14
400489439,19,18,29,10
400489440,24,16,25,13
400489441,11,27,19,18
400489442,18,19,26,14
400489443,19,19,31,7
400489444,23,14,20,18
400489445,14,26,23,15
400489446,27,13,8,31
400489447,25,14,16,22
400489448,25,14,9,29
400489449,18,20,15,25
400489450,17,23,13,27
400489451,24,15,7,31
400489452,22,16,19,20
400489453,10,29,15,26
400489454,13,28,25,15
400489455,24,17,30,10
400489456,11,28,26,13
400489457,21,18,18,20
400489458,20,18,19,19
400489459,25,15,27,14
400489460,27,14,23,16
400489461,24,14,19,20
400489462,9,30,9,31
400489463,25,15,19,20
400489464,17,24,17,22
400489465,16,25,10,30
400489466,11,29,25,17
400489467,14,28,7,32
400489468,23,17,20,19
400489469,27,13,20,19
400489470,32,7,15,27
400489471,28,14,21,19
400489472,16,26,24,15
400489473,9,31,18,24
400489474,25,16,19,20
400489475,28,14,30,11
400489476,25,14,10,31
400489477,33,7,9,32
400489478,20,20,17,23
400489479,18,25,26,15
400489480,14,29,24,17
400489481,20,20,25,18
400489482,28,13,20,20
400489483,22,17,26,15
400489484,24,16,20,20
400489485,12,29,19,21
400489486,26,16,20,20
400489487,10,31,15,28
400489488,7,33,17,26
400489489,31,11,22,18
400489490,29,14,12,30
400489491,25,15,25,16
400489492,11,31,10,32
400489493,21,20,29,14
400489494,15,29,25,19
400489495,20,21,27,15
400489496,19,22,32,11
400489497,19,25,20,21
400489498,29,15,21,20
400489499,28,14,27,15
400489500,26,15,15,29
400489501,25,17,33,8
400489502,8,33,17,24
400489503,10,33,10,32
400489504,27,16,12,31
400489505,21,20,11,32
400489506,28,16,32,12
400489507,20,22,29,14
400489508,10,33,20,22
400489509,10,34,30,15
400489510,20,25,22,19
400489511,34,8,27,16
400489512,25,17,26,17
400489513,26,19,27,16
400489514,15,30,21,21
400489515,20,21,16,29
400489516,21,21,18,24
400489517,8,34,27,15
400489518,21,21,18,26
400489519,21,22,27,19
400489520,15,31,21,22
400489521,10,35,30,14
400489522,17,29,20,22
400489523,20,23,35,8
400489524,9,34,21,21
400489525,22,21,29,15
400489526,22,21,11,33
400489527,11,33,12,32
400489528,29,16,27,17
400489529,33,12,25,18
400489530,18,25,28,16
400489531,22,20,31,15
400489532,27,17,20,26
400489533,12,33,18,27
400489534,21,22,28,15
400489535,18,26,31,14
400489536,21,23,23,20
400489537,22,22,22,22
400489538,15,32,36,8
400489539,21,23,10,36
400489540,29,15,29,16
400489541,25,19,29,16
400489542,34,12,27,18
400489543,32,15,27,18
400489544,12,33,17,30
400489545,20,23,13,33
400489546,22,22,19,27
400489547,9,35,30,16
400489548,10,37,13,32
400489549,35,12,21,24
400489551,31,15,33,15
400489552,18,27,37,8
400489553,26,19,22,23
400489554,17,31,21,26
400489555,27,20,22,22
400489556,22,23,13,33
400489557,20,24,30,15
400489558,23,22,15,33
400489559,18,28,10,35
400489560,30,16,27,19
400489561,16,33,19,28
400489562,38,8,35,13
400489563,21,24,32,15
400489564,20,25,23,23
400489565,10,38,24,20
400489566,31,15,21,27
400489567,21,25,23,22
400489568,27,21,31,16
400489569,19,29,30,16
400489570,25,20,10,36
400489571,11,38,23,23
400489572,24,23,21,25
400489573,33,15,27,19
400489574,31,16,17,32
400489575,39,8,20,26
400489576,23,23,26,20
400489577,32,15,13,34
400489578,13,33,28,19
400489579,28,21,18,29
400489580,22,25,13,34
400489581,31,16,16,34
400489582,36,13,33,16
400489583,37,13,10,37
400489584,14,34,23,24
400489585,34,15,25,21
400489586,28,19,13,34
400489587,29,19,39,9
400489588,13,35,27,20
400489589,21,26,11,39
400489590,32,16,21,28
400489591,17,34,23,23
400489592,22,26,32,16
400489593,24,23,32,16
400489594,10,38,22,25
400489595,32,16,24,24
400489596,24,24,19,29
400489597,28,22,20,29
400489598,32,17,33,16
400489599,33,17,35,15
400489600,13,36,24,24
400489601,14,35,30,19
400489602,20,29,17,33
400489603,21,29,22,26
400489604,23,25,27,21
400489605,25,24,11,40
400489606,29,19,37,14
400489607,40,9,23,24
400489608,23,26,32,17
400489609,13,35,18,34
400489610,14,36,25,22
400489611,25,24,20,30
400489612,15,35,10,39
400489613,12,40,37,15
400489614,32,18,36,15
400489615,33,17,25,24
400489616,33,17,33,18
400489617,26,22,29,20
400489618,24,24,30,20
400489619,33,16,21,30
400489620,26,24,27,22
400489621,24,26,18,35
400489622,14,37,29,22
400489623,22,27,24,25
400489624,25,24,29,21
400489625,15,36,27,24
400489626,17,34,41,9
400489627,21,30,20,30
400489628,14,35,33,17
400489629,31,20,12,41
400489630,25,25,33,18
400489631,21,31,34,18
400489632,28,22,26,23
400489633,23,27,33,18
400489634,11,39,37,16
400489635,34,17,25,25
400489636,37,15,18,36
400489637,26,24,11,40
400489638,29,22,24,27
400489639,15,37,29,22
400489640,34,19,42,9
400489641,17,35,28,24
400489642,38,15,21,31
400489643,22,31,29,23
400489644,35,17,33,19
400489645,25,25,25,26
400489646,26,25,23,28
400489647,14,36,21,30
400489648,12,42,16,36
400489649,33,18,34,18
400489650,22,32,12,40
400489651,23,29,38,16
400489652,26,25,24,28
400489653,15,38,35,19
400489654,30,23,26,24
400489655,33,20,30,22
400489656,35,18,32,20
400489657,27,25,17,36
400489658,29,23,43,9
400489659,27,24,28,25
400489660,39,15,33,19
400489661,14,37,22,31
400489662,17,36,18,37
400489663,27,24,25,27
400489664,12,43,35,18
400489665,27,25,12,41
400489666,33,21,40,15
400489667,24,29,28,25
400489668,30,24,31,22
400489669,33,20,23,30
400489670,39,16,43,10
400489671,14,38,23,32
400489672,21,31,28,24
400489673,15,39,19,37
400489674,32,22,30,25
400489675,40,16,33,22
400489676,25,28,25,29
400489677,28,26,28,25
400489678,13,41,28,26
400489679,33,21,30,23
400489680,36,19,21,32
400489681,27,25,34,19
400489682,15,40,18,36
400489683,22,32,36,18
400489684,17,37,36,18
400489685,28,25,44,10
400489686,14,39,13,43
400489687,18,37,22,33
400489688,31,23,30,26
400489689,34,21,40,17
400489690,23,33,41,15
400489691,34,22,25,30
400489692,29,25,32,23
400489693,29,25,25,29
400489694,20,37,23,31
400489695,16,40,21,33
400489696,35,19,18,37
400489697,37,19,36,19
400489698,24,31,30,27
400489699,32,23,28,27
400489700,35,21,29,26
400489701,23,34,33,23
400489702,13,42,45,10
400489703,28,27,36,19
400489704,38,19,36,19
400489705,28,25,22,34
400489706,20,38,14,43
400489707,26,29,14,40
400489708,28,28,35,22
400489709,41,17,25,31
400489710,36,20,30,25
400489711,18,38,22,33
400489712,28,26,37,19
400489713,29,27,18,38
400489714,45,11,42,15
400489715,22,35,34,23
400489716,23,35,36,21
400489717,20,39,33,23
400489718,39,19,36,20
400489719,25,32,36,22
400489720,38,19,13,43
400489721,42,17,28,29
400489722,26,30,30,26
400489723,18,39,31,25
400489724,29,28,23,33
400489725,18,39,37,20
400489726,42,18,43,15
400489727,31,26,39,20
400489728,23,35,26,31
400489729,34,23,23,36
400489730,39,19,24,32
400489731,36,23,15,43
400489732,35,23,16,41
400489733,24,33,36,21
400489734,29,26,18,40
400489735,19,39,20,40
400489736,46,11,13,44
400489737,28,30,26,32
400489738,37,21,14,41
400489739,29,27,32,25
400489740,37,21,36,24
400489741,25,32,15,44
400489742,23,36,38,21
400489743,26,32,24,36
400489744,31,27,16,42
400489745,38,20,39,20
400489746,35,23,24,34
400489747,43,18,14,42
400489748,28,31,44,15
400489749,36,23,19,40
400489750,13,45,40,20
400489751,29,28,47,11
400489752,37,24,25,33
400489753,33,25,18,41
400489754,29,29,39,20
400489755,36,23,20,41
400489756,39,21,26,33
400489757,24,36,26,33
400489758,38,21,13,46
400489759,45,15,43,19
400489760,32,27,15,45
400489761,25,36,16,43
400489762,32,26,24,35
400489763,25,34,29,31
400489764,27,33,29,29
400489765,40,21,36,24
400489766,33,27,14,43
400489767,39,21,47,12
400489768,29,30,34,25
400489769,39,21,19,41
400489770,37,23,39,21
400489771,16,44,38,24
400489772,24,37,14,46
400489773,15,43,19,41
400489774,46,15,15,46
400489775,20,42,25,35
400489776,37,24,40,21
400489777,15,46,33,28
400489778,19,42,44,19
400489779,40,21,29,32
400489780,24,38,41,20
400489781,26,34,29,30
400489782,27,34,37,24
400489783,39,22,48,12
400489784,40,22,30,30
400489785,26,36,34,26
400489786,33,26,19,42
400489787,16,43,16,45
400489788,16,46,25,36
400489789,20,43,41,21
400489790,26,35,28,34
400489791,39,24,33,29
400489792,40,22,26,34
400489793,30,30,41,21
400489794,41,21,40,23
400489795,38,24,30,31
400489796,49,12,37,25
400489797,20,42,26,37
400489798,42,21,34,27
400489799,16,46,19,43
400489800,34,26,24,39
400489801,40,24,40,24
400489802,41,22,47,15
400489803,34,29,26,36
400489804,29,33,50,12
400489805,45,19,16,46
400489806,35,26,20,44
400489807,17,43,28,35
400489808,17,46,42,22
400489809,35,27,37,26
400489810,39,24,41,22
400489811,41,22,30,31
400489812,21,42,19,44
400489813,26,35,31,31
400489814,17,46,26,38
400489815,26,36,24,40
400489816,36,27,34,30
400489817,27,35,30,32
400489818,30,33,17,44
400489819,48,15,40,25
400489820,46,19,50,13
400489821,35,27,42,22
400489822,27,36,20,45
400489823,42,22,17,47
400489824,42,22,39,25
400489825,16,47,29,35
400489826,22,42,26,37
400489827,51,13,31,32
400489828,20,44,17,47
400489829,27,38,24,41
400489830,30,33,18,44
400489831,36,28,47,19
400489832,42,23,49,15
400489833,40,25,27,36
400489834,34,31,31,33
400489835,40,26,43,22
400489836,26,38,38,26
400489837,27,39,43,22
400489838,23,42,16,48
400489839,40,25,28,36
400489840,25,41,20,46
400489841,21,44,29,36
400489842,52,13,35,28
400489843,43,22,17,48
400489844,32,32,34,32
400489845,31,34,48,19
400489846,17,48,50,15
400489847,27,38,27,37
400489848,28,37,44,22
400489849,36,29,19,44
400489850,23,43,39,26
400489851,44,22,16,49
400489852,20,47,44,22
400489853,40,26,26,41
400489854,53,13,40,27
400489855,31,33,31,35
400489856,37,29,35,29
400489857,17,49,41,25
400489858,27,39,51,15
400489859,43,23,29,37
400489860,34,33,54,13
400489861,28,38,28,37
400489862,22,44,19,45
400489863,45,22,39,27
400489864,44,23,32,33
400489865,27,40,18,48
400489866,45,22,16,50
400489867,26,42,24,43
400489868,41,26,20,48
400489869,35,30,35,33
400489870,52,15,17,50
400489871,29,38,31,34
400489872,18,49,30,37
400489873,46,22,22,45
400489874,46,22,27,41
400489875,21,48,37,30
400489876,19,46,42,26
400489877,29,37,35,31
400489878,55,13,24,44
400489879,32,35,44,24
400489880,49,19,26,43
400489881,30,38,53,15
400489882,20,46,46,23
400489883,36,33,31,35
400489884,47,22,27,40
400489885,29,38,40,27
400489886,18,50,40,28
400489887,32,34,28,41
400489888,42,25,37,31
400489889,50,19,29,39
400489890,16,51,45,22
400489891,18,50,43,26
400489892,33,34,22,46
400489893,33,35,24,45
400489894,56,13,26,44
400489895,31,38,18,51
400489896,40,29,54,15
400489897,18,51,30,38
400489898,40,28,36,31
400489899,47,23,31,36
400489900,28,40,20,47
400489901,38,31,28,42
400489902,43,25,29,40
400489903,16,52,45,24
400489904,33,36,46,22
400489905,25,45,36,34
400489906,22,47,44,26
400489907,55,15,31,39
400489908,19,51,28,41
400489909,21,47,40,29
400489910,51,19,47,23
400489911,16,53,27,44
400489912,44,25,21,49
400489913,37,31,30,39
400489914,29,41,34,34
400489915,34,36,38,32
400489916,57,13,45,25
400489917,31,37,29,42
400489918,44,27,41,29
400489919,52,19,46,23
400489920,22,48,37,34
400489921,29,42,38,31
400489922,26,45,21,48
400489923,20,51,31,40
400489924,35,34,28,42
400489925,32,37,40,30
400489926,39,32,18,52
400489927,56,15,16,54
400489928,44,26,48,23
400489929,58,13,21,50
400489930,31,39,44,28
400489931,27,45,52,20
400489932,19,52,29,43
400489933,42,29,46,24
400489934,33,37,37,35
400489935,29,43,35,36
400489936,31,40,48,23
400489937,44,29,45,26
400489938,39,31,35,35
400489939,22,50,40,31
400489940,22,48,20,52
400489941,40,32,16,55
400489942,42,30,46,25
400489943,28,43,49,23
400489944,27,46,40,31
400489945,57,15,22,49
400489946,47,24,58,14
400489947,22,51,30,43
400489948,38,35,52,21
400489949,49,23,31,41
400489950,21,52,35,37
400489951,45,29,33,38
400489952,22,49,46,26
400489953,27,47,32,40
400489954,48,24,35,36
400489955,50,23,40,32
400489956,47,25,19,53
400489957,16,56,41,32
400489958,43,30,29,44
400489959,29,43,27,45
400489960,47,26,57,16
400489961,22,52,23,49
400489962,41,31,35,38
400489963,48,25,30,44
400489964,22,50,59,14
400489965,41,32,16,57
400489966,51,23,19,54
400489967,22,52,45,30
400489968,36,36,33,39
400489969,31,42,53,21
400489970,32,41,50,23
400489971,43,31,28,45
400489972,30,43,27,48
400489973,30,44,48,25
400489974,36,38,38,36
400489975,16,58,23,52
400489976,58,16,41,32
400489977,60,14,47,27
400489978,32,42,22,51
400489979,51,23,32,42
400489980,22,53,37,36
400489981,48,26,42,32
400489982,30,44,42,32
400489983,43,32,52,23
400489984,24,49,33,40
400489985,28,46,31,44
400489986,27,49,49,25
400489987,48,27,23,53
400489988,34,40,43,33
400489989,45,31,54,21
400489990,38,37,59,16
400489991,25,49,32,43
400489992,52,23,36,39
400489993,32,43,42,32
400489994,61,14,22,52
400489995,31,44,37,37
400489996,29,46,16,59
400489997,43,32,42,33
400489998,22,54,31,44
400489999,50,25,48,27
400490000,17,59,19,55
400490001,31,45,23,54
400490002,43,33,31,45
